prop,uri,label
skos:broader,http://www.w3.org/2004/02/skos/core#broader,has broader
skos:narrower,http://www.w3.org/2004/02/skos/core#narrower,has narrower
skos:related,http://www.w3.org/2004/02/skos/core#related,has related
dcterms:date,http://purl.org/dc/terms/date,date
dcterms:source,http://purl.org/dc/terms/source,source
sio:SIO_000064,http://semanticscience.org/resource/SIO_000064,is provider of
sio:SIO_000066,http://semanticscience.org/resource/SIO_000066,has provider
she:variesIn,https://soilwise-he.github.io/soil-health#variesIn,varies in
agrontology:isComposedOf,http://aims.fao.org/aos/agrontology#isComposedOf,is composed of
agrontology:isPartOf,http://aims.fao.org/aos/agrontology#isPartOf,is part of
agrontology:includes,http://aims.fao.org/aos/agrontology#includes,includes
skos:definition,http://www.w3.org/2004/02/skos/core#definition,definition
skos:prefLabel,http://www.w3.org/2004/02/skos/core#prefLabel,preferred label
agrontology:affects,http://aims.fao.org/aos/agrontology#affects,affects
agrontology:hasAbbreviation,http://aims.fao.org/aos/agrontology#hasAbbreviation,has abbreviation
agrontology:measures,http://aims.fao.org/aos/agrontology#measures,measures
dcterms:replaces,http://purl.org/dc/terms/replaces,replaces
agrontology:isAffectedBy,http://aims.fao.org/aos/agrontology#isAffectedBy,is affected by
agrontology:benefitsFrom,http://aims.fao.org/aos/agrontology#benefitsFrom,benefits from
agrontology:isBeneficialFor,http://aims.fao.org/aos/agrontology#isBeneficialFor,is beneficial for
agrontology:isPreventedBy,http://aims.fao.org/aos/agrontology#isPreventedBy,is prevented by
agrontology:prevents,http://aims.fao.org/aos/agrontology#prevents,prevents
agrontology:isMeasuredBy,http://aims.fao.org/aos/agrontology#isMeasuredBy,is measured by
prov:atLocation,http://www.w3.org/ns/prov#atLocation,at location
skos:note,http://www.w3.org/2004/02/skos/core#note,note
agrontology:compose,http://aims.fao.org/aos/agrontology#compose,compose
agrontology:isMadeFrom,http://aims.fao.org/aos/agrontology#isMadeFrom,is made from
agrontology:isUsedToMake,http://aims.fao.org/aos/agrontology#isUsedToMake,is used to make
agrontology:causes,http://aims.fao.org/aos/agrontology#causes,causes
agrontology:isCausedBy,http://aims.fao.org/aos/agrontology#isCausedBy,is caused by
qudt:unit,http://qudt.org/schema/qudt/unit,unit
qudt:expression,http://qudt.org/schema/qudt/expression,expression
agrontology:makeUseOf,http://aims.fao.org/aos/agrontology#makeUseOf,make use of
skos:altLabel,http://www.w3.org/2004/02/skos/core#altLabel,alternative label
agrontology:isUsedIn,http://aims.fao.org/aos/agrontology#isUsedIn,is used in
agrontology:isProcessFor,http://aims.fao.org/aos/agrontology#isProcessFor,is process for
agrontology:usesProcess,http://aims.fao.org/aos/agrontology#usesProcess,uses process
agrontology:hasPart,http://aims.fao.org/aos/agrontology#hasPart,has part
agrontology:follows,http://aims.fao.org/aos/agrontology#follows,follows
agrontology:precedes,http://aims.fao.org/aos/agrontology#precedes,precedes
qudt:numericValue,http://qudt.org/schema/qudt/numericValue,numeric value
agrontology:isUsedAs,http://aims.fao.org/aos/agrontology#isUsedAs,is used as
qudt:symbol,http://qudt.org/schema/qudt/symbol,symbol
agrontology:performs,http://aims.fao.org/aos/agrontology#performs,performs
agrontology:isPerformedBy,http://aims.fao.org/aos/agrontology#isPerformedBy,is performed by
agrontology:isIncludedIn,http://aims.fao.org/aos/agrontology#isIncludedIn,is included in
agrontology:isDerivedFrom,http://aims.fao.org/aos/agrontology#isDerivedFrom,is derived from
agrontology:isSourceOf,http://aims.fao.org/aos/agrontology#isSourceOf,is source of
agrontology:isUseOf,http://aims.fao.org/aos/agrontology#isUseOf,is use of
rdf:type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type
dcterms:title,http://purl.org/dc/terms/title,title
obo:T4FS_0000577,http://purl.obolibrary.org/obo/T4FS_0000577,requires knowledge about
obo:RO_0002212,http://purl.obolibrary.org/obo/RO_0002212,negatively regulates
obo:RO_0002335,http://purl.obolibrary.org/obo/RO_0002335,negatively regulated by
she:alters,https://soilwise-he.github.io/soil-health#alters,alters
she:isAlteredBy,https://soilwise-he.github.io/soil-health#isAlteredBy,is altered by
obo:RO_0002326,http://purl.obolibrary.org/obo/RO_0002326,contributes to
schema:isBasedOn,https://schema.org/isBasedOn,is based on
she:isIndicatedBy,https://soilwise-he.github.io/soil-health#isIndicatedBy,is indicated by
she:indicates,https://soilwise-he.github.io/soil-health#indicates,indicates
obo:OAE_0000186,http://purl.obolibrary.org/obo/OAE_0000186,induces
obo:OAE_0000025,http://purl.obolibrary.org/obo/OAE_0000025,induced by
obo:RO_0002327,http://purl.obolibrary.org/obo/RO_0002327,enables
obo:RO_0002333,http://purl.obolibrary.org/obo/RO_0002333,enabled by
af-x:AFX_0002806,http://purl.allotrope.org/ontologies/property#AFX_0002806,classifies
af-x:AFX_0001154,http://purl.allotrope.org/ontologies/property#AFX_0001154,has classification
wdt:P1889,http://www.wikidata.org/prop/direct/P1889,different from
